match_id,event_id,player_a,player_b,surface,tournament,tour,round,best_of,tourney_level,commence_time,opening_odds_a,opening_odds_b,bookmaker
atp_5066b1a43c,5066b1a43c911150df7672750c4991e3,Botic Van De Zandschulp,Francisco Cerundolo,clay,ATP Munich,atp,Unknown,3,A,2026-04-16 09:00:00+00:00,3.3,1.37,pinnacle
atp_8116c161fc,8116c161fcf896e1a96af5f1e377cfd7,Alexander Zverev,Gabriel Diallo,clay,ATP Munich,atp,Unknown,3,A,2026-04-16 09:00:00+00:00,1.09,8.93,pinnacle
atp_87c0daef66,87c0daef66cb7bad39ebd881b7007696,Daniel Altmaier,Alex Molcan,clay,ATP Munich,atp,Unknown,3,A,2026-04-16 09:00:00+00:00,1.86,2.01,pinnacle
wta_6fea4bc7e0,6fea4bc7e0ef27592a28bb70dd6a12ad,Liudmila Samsonova,Coco Gauff,hard,WTA Stuttgart Open,wta,Unknown,3,I,2026-04-16 12:00:00+00:00,5.82,1.17,pinnacle
wta_10cf9e2954,10cf9e295442be8a80d73d74658399f5,Karolina Muchova,Elise Mertens,hard,WTA Stuttgart Open,wta,Unknown,3,I,2026-04-16 08:00:00+00:00,1.54,2.28,betfair_ex_eu
atp_93f3f8d21c,93f3f8d21cc8ea57507674aeab7e3943,Carlos Alcaraz,Tomas Machac,clay,ATP Barcelona Open,atp,Unknown,3,A,2026-04-16 08:00:00+00:00,1.1,6.8,betfair_ex_eu
atp_16b9040a29,16b9040a29c2d95c3bf492e17c3a85e3,Corentin Moutet,Lorenzo Musetti,clay,ATP Barcelona Open,atp,Unknown,3,A,2026-04-16 09:00:00+00:00,3.35,1.19,betfair_ex_eu
atp_dc1e3cf86f,dc1e3cf86f7229d04d243a72fbc91f48,Lorenzo Sonego,Andrey Rublev,clay,ATP Barcelona Open,atp,Unknown,3,A,2026-04-16 08:00:00+00:00,3.35,1.23,betfair_ex_eu
wta_8a864a8685,8a864a868579e747ac14fdec5a95ffc6,Elena Rybakina,Diana Shnaider,hard,WTA Stuttgart Open,wta,Unknown,3,I,2026-04-16 08:00:00+00:00,1.08,3.7,betfair_ex_eu
atp_f9be1b0756,f9be1b0756072f5b33e50a9ce3130839,Arthur Fils,Brandon Nakashima,clay,ATP Barcelona Open,atp,Unknown,3,A,2026-04-16 08:00:00+00:00,1.06,2.52,betfair_ex_eu
